,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.8461538461538461,0.8571428571428571,0.8181818181818182,0.9230769230769231,0.6923076923076923,0.8376623376623377,0.8937728937728938,0
1,ICU,0.8717948717948718,0.8181818181818182,0.8928571428571429,0.75,0.9259259259259259,0.8555194805194806,0.6649184149184149,0
2,Self Isolation,0.9743589743589743,0.0,0.9743589743589743,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.7894736842105263,0.8181818181818182,0.75,0.8181818181818182,0.75,0.7840909090909092,0.7746846454980427,1
4,ICU,0.868421052631579,0.7272727272727273,0.9259259259259259,0.8,0.8928571428571429,0.8265993265993266,0.6607655502392346,1
5,Self Isolation,0.9210526315789473,0.8,0.9393939393939394,0.6666666666666666,0.96875,0.8696969696969699,0.5596491228070175,1
6,Hospitalized,0.868421052631579,1.0,0.782608695652174,0.75,1.0,0.891304347826087,0.75,2
7,ICU,0.9210526315789473,0.8421052631578947,1.0,1.0,0.8636363636363636,0.9210526315789473,0.9210526315789473,2
8,Self Isolation,0.9473684210526315,0.5,1.0,1.0,0.9444444444444444,0.75,0.5526315789473684,2
9,Hospitalized,0.8421052631578947,0.8095238095238095,0.8823529411764706,0.8947368421052632,0.7894736842105263,0.8459383753501399,0.8295739348370927,3
10,ICU,0.8157894736842105,0.8666666666666667,0.782608695652174,0.7222222222222222,0.9,0.8246376811594203,0.6785575048732942,3
11,Self Isolation,0.9736842105263158,0.5,1.0,1.0,0.972972972972973,0.75,0.5263157894736842,3
12,Hospitalized,0.8947368421052632,0.9090909090909091,0.875,0.9090909090909091,0.875,0.8920454545454545,0.8790778599391039,4
13,ICU,0.8947368421052632,0.875,0.9090909090909091,0.875,0.9090909090909091,0.8920454545454546,0.8182565789473684,4
14,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.8157894736842105,0.85,0.7777777777777778,0.8095238095238095,0.8235294117647058,0.8138888888888889,0.7670426065162907,5
16,ICU,0.8421052631578947,0.8235294117647058,0.8571428571428571,0.8235294117647058,0.8571428571428571,0.8403361344537815,0.7571480604625751,5
17,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,5
18,Hospitalized,0.8421052631578947,0.7916666666666666,0.9285714285714286,0.95,0.7222222222222222,0.8601190476190476,0.8836622807017542,6
19,ICU,0.8421052631578947,0.9230769230769231,0.8,0.7058823529411765,0.9523809523809523,0.8615384615384616,0.6778994998809241,6
20,Self Isolation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6
21,Hospitalized,0.8157894736842105,0.88,0.6923076923076923,0.8461538461538461,0.75,0.7861538461538462,0.8235627530364372,7
22,ICU,0.868421052631579,0.8181818181818182,0.8888888888888888,0.75,0.9230769230769231,0.8535353535353535,0.666267942583732,7
23,Self Isolation,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315,undefined,undefined,7
24,Hospitalized,0.7631578947368421,0.7727272727272727,0.75,0.8095238095238095,0.7058823529411765,0.7613636363636364,0.7571200729095466,8
25,ICU,0.7631578947368421,0.75,0.7727272727272727,0.7058823529411765,0.8095238095238095,0.7613636363636364,0.6346749226006192,8
26,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.7368421052631579,0.8636363636363636,0.5625,0.7307692307692307,0.75,0.7130681818181819,0.7100662495399337,9
28,ICU,0.7894736842105263,0.5714285714285714,0.9166666666666666,0.8,0.7857142857142857,0.7440476190476191,0.6150375939849624,9
29,Self Isolation,0.9473684210526315,0.5,0.9722222222222222,0.5,0.9722222222222222,0.736111111111111,0.2763157894736842,9
