,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.7435897435897436,0.6785714285714286,0.9090909090909091,0.95,0.5263157894736842,0.7938311688311689,0.8754120879120879,0
1,ICU,0.7692307692307693,0.9090909090909091,0.7142857142857143,0.5555555555555556,0.9523809523809523,0.8116883116883118,0.5306915306915307,0
2,Self Isolation,0.9743589743589743,0.0,0.9743589743589743,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.8157894736842105,0.9090909090909091,0.6875,0.8,0.8461538461538461,0.7982954545454546,0.7799043062200958,1
4,ICU,0.868421052631579,0.7272727272727273,0.9259259259259259,0.8,0.8928571428571429,0.8265993265993266,0.6607655502392346,1
5,Self Isolation,0.9473684210526315,0.6,1.0,1.0,0.9428571428571428,0.8,0.6526315789473685,1
6,Hospitalized,0.8157894736842105,0.8666666666666667,0.782608695652174,0.7222222222222222,0.9,0.8246376811594203,0.6785575048732942,2
7,ICU,0.868421052631579,0.8421052631578947,0.8947368421052632,0.8888888888888888,0.85,0.868421052631579,0.827485380116959,2
8,Self Isolation,0.9473684210526315,0.5,1.0,1.0,0.9444444444444444,0.75,0.5526315789473684,2
9,Hospitalized,0.8157894736842105,0.7142857142857143,0.9411764705882353,0.9375,0.7272727272727273,0.8277310924369748,0.8275375939849625,3
10,ICU,0.7894736842105263,0.9333333333333333,0.6956521739130435,0.6666666666666666,0.9411764705882353,0.8144927536231884,0.6485380116959064,3
11,Self Isolation,0.9736842105263158,0.5,1.0,1.0,0.972972972972973,0.75,0.5263157894736842,3
12,Hospitalized,0.868421052631579,0.9090909090909091,0.8125,0.8695652173913043,0.8666666666666667,0.8607954545454546,0.8431454129394633,4
13,ICU,0.868421052631579,0.8125,0.9090909090909091,0.8666666666666667,0.8695652173913043,0.8607954545454546,0.7831140350877194,4
14,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.8157894736842105,0.9,0.7222222222222222,0.782608695652174,0.8666666666666667,0.8111111111111111,0.7569794050343249,5
16,ICU,0.8421052631578947,0.7647058823529411,0.9047619047619048,0.8666666666666667,0.8260869565217391,0.8347338935574229,0.7680082559339525,5
17,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,5
18,Hospitalized,0.8421052631578947,0.9166666666666666,0.7142857142857143,0.8461538461538461,0.8333333333333334,0.8154761904761905,0.828272604588394,6
19,ICU,0.868421052631579,0.7692307692307693,0.92,0.8333333333333334,0.8846153846153846,0.8446153846153847,0.7199730094466937,6
20,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,6
21,Hospitalized,0.8157894736842105,0.84,0.7692307692307693,0.875,0.7142857142857143,0.8046153846153845,0.8402631578947368,7
22,ICU,0.868421052631579,0.8181818181818182,0.8888888888888888,0.75,0.9230769230769231,0.8535353535353535,0.666267942583732,7
23,Self Isolation,0.9473684210526315,0.5,0.9722222222222222,0.5,0.9722222222222222,0.736111111111111,0.2763157894736842,7
24,Hospitalized,0.7894736842105263,0.8636363636363636,0.6875,0.7916666666666666,0.7857142857142857,0.7755681818181819,0.7626594896331739,8
25,ICU,0.7894736842105263,0.6875,0.8636363636363636,0.7857142857142857,0.7916666666666666,0.7755681818181819,0.6717575187969924,8
26,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.7894736842105263,0.8181818181818182,0.75,0.8181818181818182,0.75,0.7840909090909092,0.7746846454980427,9
28,ICU,0.8421052631578947,0.7857142857142857,0.875,0.7857142857142857,0.875,0.8303571428571429,0.6962943071965628,9
29,Self Isolation,0.9473684210526315,0.5,0.9722222222222222,0.5,0.9722222222222222,0.736111111111111,0.2763157894736842,9
