,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.358974358974359,0.17857142857142858,0.8181818181818182,0.7142857142857143,0.28125,0.4983766233766233,0.717294610151753,0
1,ICU,0.6666666666666666,0.09090909090909091,0.8928571428571429,0.25,0.7142857142857143,0.49188311688311687,0.2791375291375291,0
2,Self Isolation,0.28205128205128205,0.0,0.28205128205128205,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.4473684210526316,0.22727272727272727,0.75,0.5555555555555556,0.41379310344827586,0.4886363636363636,0.5736310473152578,1
4,ICU,0.5526315789473685,0.9090909090909091,0.4074074074074074,0.38461538461538464,0.9166666666666666,0.6582491582491583,0.37596613912403387,1
5,Self Isolation,0.7894736842105263,0.0,0.9090909090909091,0.0,0.8571428571428571,0.45454545454545453,0.13157894736842105,1
6,Hospitalized,0.42105263157894735,0.7333333333333333,0.21739130434782608,0.3793103448275862,0.5555555555555556,0.47536231884057967,0.38342407743496676,2
7,ICU,0.42105263157894735,0.10526315789473684,0.7368421052631579,0.2857142857142857,0.45161290322580644,0.42105263157894735,0.4774436090225564,2
8,Self Isolation,0.8421052631578947,0.0,0.9411764705882353,0.0,0.8888888888888888,0.47058823529411764,0.10526315789473684,2
9,Hospitalized,0.39473684210526316,0.0,0.8823529411764706,0.0,0.4166666666666667,0.4411764705882353,0.5526315789473685,3
10,ICU,0.5,0.06666666666666667,0.782608695652174,0.16666666666666666,0.5625,0.4246376811594203,0.3795321637426901,3
11,Self Isolation,0.2631578947368421,1.0,0.2222222222222222,0.06666666666666667,1.0,0.6111111111111112,0.06666666666666667,3
12,Hospitalized,0.3684210526315789,0.09090909090909091,0.75,0.3333333333333333,0.375,0.4204545454545454,0.5566188197767145,4
13,ICU,0.42105263157894735,0.75,0.18181818181818182,0.4,0.5,0.4659090909090909,0.4052631578947369,4
14,Self Isolation,0.9473684210526315,0.0,0.9473684210526315,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.2631578947368421,0.4,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.2555555555555556,0.4491228070175438,5
16,ICU,0.3684210526315789,0.058823529411764705,0.6190476190476191,0.1111111111111111,0.4482758620689655,0.3389355742296919,0.4275885792913656,5
17,Self Isolation,0.8421052631578947,0.0,0.8648648648648649,0.0,0.9696969696969697,0.43243243243243246,0.02631578947368421,5
18,Hospitalized,0.42105263157894735,0.5833333333333334,0.14285714285714285,0.5384615384615384,0.16666666666666666,0.36309523809523814,0.5772604588394061,6
19,ICU,0.6052631578947368,0.15384615384615385,0.84,0.3333333333333333,0.65625,0.49692307692307686,0.3407557354925776,6
20,Self Isolation,0.8157894736842105,0.0,0.8378378378378378,0.0,0.96875,0.4189189189189189,0.02631578947368421,6
21,Hospitalized,0.47368421052631576,0.28,0.8461538461538461,0.7777777777777778,0.3793103448275862,0.563076923076923,0.6914619883040936,7
22,ICU,0.7368421052631579,0.5454545454545454,0.8148148148148148,0.5454545454545454,0.8148148148148148,0.6801346801346801,0.4290996085254458,7
23,Self Isolation,0.5263157894736842,0.5,0.5277777777777778,0.05555555555555555,0.95,0.513888888888889,0.054093567251461985,7
24,Hospitalized,0.5,0.2727272727272727,0.8125,0.6666666666666666,0.4482758620689655,0.5426136363636364,0.6028708133971292,8
25,ICU,0.5526315789473685,0.8125,0.36363636363636365,0.48148148148148145,0.7272727272727273,0.5880681818181819,0.47015107212475626,8
26,Self Isolation,0.9473684210526315,0.0,0.9473684210526315,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.4473684210526316,0.3181818181818182,0.625,0.5384615384615384,0.4,0.47159090909090906,0.5660655134339345,9
28,ICU,0.47368421052631576,0.2857142857142857,0.5833333333333334,0.2857142857142857,0.5833333333333334,0.4345238095238094,0.34479054779806656,9
29,Self Isolation,0.7105263157894737,0.5,0.7222222222222222,0.09090909090909091,0.9629629629629629,0.611111111111111,0.07177033492822966,9
