,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.3333333333333333,0.10714285714285714,0.9090909090909091,0.75,0.2857142857142857,0.5081168831168832,0.721382783882784,0
1,ICU,0.48717948717948717,0.6363636363636364,0.42857142857142855,0.30434782608695654,0.75,0.5324675324675324,0.2962399918921658,0
2,Self Isolation,0.6923076923076923,0.0,0.6923076923076923,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.4473684210526316,0.5454545454545454,0.3125,0.5217391304347826,0.3333333333333333,0.4289772727272727,0.5477428749739963,1
4,ICU,0.7105263157894737,0.0,1.0,0.0,0.7105263157894737,undefined,undefined,1
5,Self Isolation,0.5789473684210527,0.4,0.6060606060606061,0.13333333333333333,0.8695652173913043,0.503030303030303,0.13228070175438597,1
6,Hospitalized,0.6052631578947368,0.13333333333333333,0.9130434782608695,0.5,0.6176470588235294,0.5231884057971015,0.4087719298245614,2
7,ICU,0.4473684210526316,0.3684210526315789,0.5263157894736842,0.4375,0.45454545454545453,0.44736842105263164,0.4769736842105263,2
8,Self Isolation,0.47368421052631576,0.25,0.5,0.05555555555555555,0.85,0.375,0.09283625730994152,2
9,Hospitalized,0.47368421052631576,0.7619047619047619,0.11764705882352941,0.5161290322580645,0.2857142857142857,0.43977591036414565,0.5248201148031368,3
10,ICU,0.6052631578947368,0.0,1.0,0.0,0.6052631578947368,undefined,undefined,3
11,Self Isolation,0.8157894736842105,0.5,0.8333333333333334,0.14285714285714285,0.967741935483871,0.6666666666666666,0.09774436090225563,3
12,Hospitalized,0.34210526315789475,0.5,0.125,0.44,0.15384615384615385,0.3125,0.5094736842105263,4
13,ICU,0.5,0.0,0.8636363636363636,0.0,0.5428571428571428,0.4318181818181818,0.42105263157894735,4
14,Self Isolation,0.7368421052631579,0.0,0.7368421052631579,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.5789473684210527,0.25,0.9444444444444444,0.8333333333333334,0.53125,0.5972222222222222,0.6030701754385965,5
16,ICU,0.5,0.17647058823529413,0.7619047619047619,0.375,0.5333333333333333,0.469187675070028,0.4345975232198142,5
17,Self Isolation,0.34210526315789475,0.0,0.35135135135135137,0.0,0.9285714285714286,0.17567567567567566,0.02631578947368421,5
18,Hospitalized,0.6052631578947368,0.75,0.35714285714285715,0.6666666666666666,0.45454545454545453,0.5535714285714286,0.6578947368421053,6
19,ICU,0.631578947368421,0.0,0.96,0.0,0.6486486486486487,0.48,0.34210526315789475,6
20,Self Isolation,0.7105263157894737,0.0,0.7297297297297297,0.0,0.9642857142857143,0.36486486486486486,0.02631578947368421,6
21,Hospitalized,0.3684210526315789,0.12,0.8461538461538461,0.6,0.3333333333333333,0.48307692307692307,0.6509473684210526,7
22,ICU,0.6578947368421053,0.36363636363636365,0.7777777777777778,0.4,0.75,0.5707070707070708,0.329665071770335,7
23,Self Isolation,0.4473684210526316,1.0,0.4166666666666667,0.08695652173913043,1.0,0.7083333333333333,0.08695652173913043,7
24,Hospitalized,0.5526315789473685,0.22727272727272727,1.0,1.0,0.48484848484848486,0.6136363636363636,0.6746411483253588,8
25,ICU,0.5789473684210527,0.6875,0.5,0.5,0.6875,0.59375,0.475328947368421,8
26,Self Isolation,0.7105263157894737,0.0,0.7105263157894737,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.47368421052631576,0.5909090909090909,0.3125,0.5416666666666666,0.35714285714285715,0.4517045454545454,0.5569178628389154,9
28,ICU,0.5263157894736842,0.07142857142857142,0.7916666666666666,0.16666666666666666,0.59375,0.431547619047619,0.35401002506265666,9
29,Self Isolation,0.8421052631578947,1.0,0.8333333333333334,0.25,1.0,0.9166666666666667,0.25,9
