,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.9743589743589743,0.9642857142857143,1.0,1.0,0.9166666666666666,0.9821428571428572,0.98992673992674,0
1,ICU,0.9743589743589743,1.0,0.9642857142857143,0.9166666666666666,1.0,0.9821428571428572,0.9166666666666666,0
2,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.7631578947368421,0.8636363636363636,0.625,0.76,0.7692307692307693,0.7443181818181819,0.735311004784689,1
4,ICU,0.8421052631578947,0.7272727272727273,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.8080808080808081,0.6078729882557634,1
5,Self Isolation,0.9210526315789473,0.4,1.0,1.0,0.9166666666666666,0.7,0.4789473684210527,1
6,Hospitalized,0.8421052631578947,1.0,0.7391304347826086,0.7142857142857143,1.0,0.8695652173913043,0.7142857142857143,2
7,ICU,0.8947368421052632,0.7894736842105263,1.0,1.0,0.8260869565217391,0.8947368421052632,0.8947368421052632,2
8,Self Isolation,0.9473684210526315,0.5,1.0,1.0,0.9444444444444444,0.75,0.5526315789473684,2
9,Hospitalized,0.868421052631579,0.8095238095238095,0.9411764705882353,0.9444444444444444,0.8,0.8753501400560224,0.8698134224450014,3
10,ICU,0.8421052631578947,0.9333333333333333,0.782608695652174,0.7368421052631579,0.9473684210526315,0.8579710144927537,0.7140350877192981,3
11,Self Isolation,0.9736842105263158,0.5,1.0,1.0,0.972972972972973,0.75,0.5263157894736842,3
12,Hospitalized,0.9473684210526315,0.9545454545454546,0.9375,0.9545454545454546,0.9375,0.9460227272727273,0.9374728142670727,4
13,ICU,0.9473684210526315,0.9375,0.9545454545454546,0.9375,0.9545454545454546,0.9460227272727274,0.9052220394736842,4
14,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.7894736842105263,0.75,0.8333333333333334,0.8333333333333334,0.75,0.7916666666666667,0.756578947368421,5
16,ICU,0.8157894736842105,0.8823529411764706,0.7619047619047619,0.75,0.8888888888888888,0.8221288515406161,0.7143962848297214,5
17,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,5
18,Hospitalized,0.8157894736842105,0.9166666666666666,0.6428571428571429,0.8148148148148148,0.8181818181818182,0.7797619047619047,0.7995451591942819,6
19,ICU,0.8421052631578947,0.6923076923076923,0.92,0.8181818181818182,0.8518518518518519,0.8061538461538462,0.6716967243283033,6
20,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,6
21,Hospitalized,0.868421052631579,1.0,0.6153846153846154,0.8333333333333334,1.0,0.8076923076923077,0.8333333333333334,7
22,ICU,0.9210526315789473,0.7272727272727273,1.0,1.0,0.9,0.8636363636363636,0.80622009569378,7
23,Self Isolation,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315,undefined,undefined,7
24,Hospitalized,0.8157894736842105,0.8636363636363636,0.75,0.8260869565217391,0.8,0.8068181818181819,0.7923861035989183,8
25,ICU,0.8157894736842105,0.75,0.8636363636363636,0.8,0.8260869565217391,0.8068181818181819,0.7052631578947369,8
26,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.868421052631579,0.9545454545454546,0.75,0.84,0.9230769230769231,0.8522727272727273,0.8281339712918661,9
28,ICU,0.9210526315789473,0.7857142857142857,1.0,1.0,0.8888888888888888,0.8928571428571428,0.8646616541353384,9
29,Self Isolation,0.9473684210526315,0.5,0.9722222222222222,0.5,0.9722222222222222,0.736111111111111,0.2763157894736842,9
