,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.7692307692307693,1.0,0.7142857142857143,0.45454545454545453,1.0,0.8571428571428572,0.45454545454545453,0
1,Not ICU,0.7692307692307693,0.7142857142857143,1.0,1.0,0.45454545454545453,0.8571428571428572,0.945054945054945,0
2,ICU,0.8846153846153846,0.8,0.9375,0.8888888888888888,0.8823529411764706,0.86875,0.788034188034188,1
3,Not ICU,0.8846153846153846,0.9375,0.8,0.8823529411764706,0.8888888888888888,0.86875,0.8656674208144796,1
4,ICU,0.8461538461538461,0.8571428571428571,0.8421052631578947,0.6666666666666666,0.9411764705882353,0.849624060150376,0.6098901098901098,2
5,Not ICU,0.8461538461538461,0.8421052631578947,0.8571428571428571,0.9411764705882353,0.6666666666666666,0.849624060150376,0.9079542748273398,2
6,ICU,0.8461538461538461,0.75,0.9285714285714286,0.9,0.8125,0.8392857142857143,0.7903846153846155,3
7,Not ICU,0.8461538461538461,0.9285714285714286,0.75,0.8125,0.9,0.8392857142857143,0.7929258241758241,3
8,ICU,0.8461538461538461,0.9285714285714286,0.75,0.8125,0.9,0.8392857142857143,0.7929258241758241,4
9,Not ICU,0.8461538461538461,0.75,0.9285714285714286,0.9,0.8125,0.8392857142857143,0.7903846153846155,4
10,ICU,0.84,0.7777777777777778,0.875,0.7777777777777778,0.875,0.8263888888888888,0.6849382716049383,5
11,Not ICU,0.84,0.875,0.7777777777777778,0.875,0.7777777777777778,0.8263888888888888,0.845625,5
12,ICU,0.92,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9198717948717948,0.8802777777777777,6
13,Not ICU,0.92,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9198717948717948,0.8920710059171598,6
14,ICU,0.8,0.5,1.0,1.0,0.75,0.75,0.7,7
15,Not ICU,0.8,1.0,0.5,0.75,1.0,0.75,0.75,7
16,ICU,0.8,0.7,0.8666666666666667,0.7777777777777778,0.8125,0.7833333333333333,0.6644444444444444,8
17,Not ICU,0.8,0.8666666666666667,0.7,0.8125,0.7777777777777778,0.7833333333333333,0.7841666666666667,8
18,ICU,0.8,0.6,0.9333333333333333,0.8571428571428571,0.7777777777777778,0.7666666666666667,0.6742857142857143,9
19,Not ICU,0.8,0.9333333333333333,0.6,0.7777777777777778,0.8571428571428571,0.7666666666666666,0.765925925925926,9
