,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.8974358974358975,0.9642857142857143,0.7272727272727273,0.9,0.8888888888888888,0.8457792207792207,0.8934981684981685,0
1,ICU,0.8974358974358975,0.7272727272727273,0.9642857142857143,0.8888888888888888,0.9,0.8457792207792209,0.7233877233877233,0
2,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.7894736842105263,0.9545454545454546,0.5625,0.75,0.9,0.7585227272727273,0.7422248803827751,1
4,ICU,0.8947368421052632,0.7272727272727273,0.9629629629629629,0.8888888888888888,0.896551724137931,0.8451178451178453,0.7254120148856991,1
5,Self Isolation,0.8947368421052632,0.2,1.0,1.0,0.8918918918918919,0.6,0.30526315789473685,1
6,Hospitalized,0.8947368421052632,0.9333333333333333,0.8695652173913043,0.8235294117647058,0.9523809523809523,0.9014492753623188,0.7949432404540763,2
7,ICU,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8531855955678671,2
8,Self Isolation,0.9473684210526315,0.5,1.0,1.0,0.9444444444444444,0.75,0.5526315789473684,2
9,Hospitalized,0.8421052631578947,0.7619047619047619,0.9411764705882353,0.9411764705882353,0.7619047619047619,0.8515406162464986,0.8486657821023146,3
10,ICU,0.8157894736842105,0.9333333333333333,0.7391304347826086,0.7,0.9444444444444444,0.8362318840579709,0.6796491228070175,3
11,Self Isolation,0.9736842105263158,0.5,1.0,1.0,0.972972972972973,0.75,0.5263157894736842,3
12,Hospitalized,0.9473684210526315,0.9545454545454546,0.9375,0.9545454545454546,0.9375,0.9460227272727273,0.9374728142670727,4
13,ICU,0.9473684210526315,0.9375,0.9545454545454546,0.9375,0.9545454545454546,0.9460227272727274,0.9052220394736842,4
14,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.8421052631578947,0.85,0.8333333333333334,0.85,0.8333333333333334,0.8416666666666667,0.8014473684210526,5
16,ICU,0.8947368421052632,0.8823529411764706,0.9047619047619048,0.8823529411764706,0.9047619047619048,0.8935574229691876,0.8311782917501366,5
17,Self Isolation,0.9473684210526315,0.0,0.972972972972973,0.0,0.972972972972973,0.4864864864864865,0.02631578947368421,5
18,Hospitalized,0.9210526315789473,0.9166666666666666,0.9285714285714286,0.9565217391304348,0.8666666666666667,0.9226190476190476,0.929443173150267,6
19,ICU,0.9210526315789473,0.9230769230769231,0.92,0.8571428571428571,0.9583333333333334,0.9215384615384616,0.8175245806824754,6
20,Self Isolation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6
21,Hospitalized,0.8947368421052632,1.0,0.6923076923076923,0.8620689655172413,1.0,0.8461538461538461,0.8620689655172413,7
22,ICU,0.9473684210526315,0.8181818181818182,1.0,1.0,0.9310344827586207,0.9090909090909092,0.8708133971291866,7
23,Self Isolation,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315,undefined,undefined,7
24,Hospitalized,0.8157894736842105,0.7727272727272727,0.875,0.8947368421052632,0.7368421052631579,0.8238636363636364,0.8229665071770336,8
25,ICU,0.8157894736842105,0.875,0.7727272727272727,0.7368421052631579,0.8947368421052632,0.8238636363636362,0.6973684210526316,8
26,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.7894736842105263,0.9090909090909091,0.625,0.7692307692307693,0.8333333333333334,0.7670454545454546,0.7519322782480677,9
28,ICU,0.868421052631579,0.7142857142857143,0.9583333333333334,0.9090909090909091,0.8518518518518519,0.8363095238095238,0.7546138072453862,9
29,Self Isolation,0.9210526315789473,0.0,0.9722222222222222,0.0,0.9459459459459459,0.4861111111111111,0.05263157894736842,9
