,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.8461538461538461,0.8214285714285714,0.9090909090909091,0.9583333333333334,0.6666666666666666,0.8652597402597402,0.9154075091575091,0
1,ICU,0.8974358974358975,0.9090909090909091,0.8928571428571429,0.7692307692307693,0.9615384615384616,0.9009740259740261,0.7249417249417249,0
2,Self Isolation,0.9487179487179487,0.0,0.9487179487179487,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.7631578947368421,0.9090909090909091,0.5625,0.7407407407407407,0.8181818181818182,0.7357954545454546,0.7260322523480418,1
4,ICU,0.8421052631578947,0.5454545454545454,0.9629629629629629,0.8571428571428571,0.8387096774193549,0.7542087542087542,0.5991114149008885,1
5,Self Isolation,0.9210526315789473,0.6,0.9696969696969697,0.75,0.9411764705882353,0.7848484848484849,0.5026315789473683,1
6,Hospitalized,0.8157894736842105,0.8,0.8260869565217391,0.75,0.8636363636363636,0.8130434782608696,0.6789473684210527,2
7,ICU,0.8157894736842105,0.8421052631578947,0.7894736842105263,0.8,0.8333333333333334,0.8157894736842104,0.7526315789473684,2
8,Self Isolation,0.9473684210526315,0.5,1.0,1.0,0.9444444444444444,0.75,0.5526315789473684,2
9,Hospitalized,0.8157894736842105,0.8571428571428571,0.7647058823529411,0.8181818181818182,0.8125,0.8109243697478992,0.780246069719754,3
10,ICU,0.7894736842105263,0.7333333333333333,0.8260869565217391,0.7333333333333333,0.8260869565217391,0.7797101449275363,0.6430409356725145,3
11,Self Isolation,0.9736842105263158,0.5,1.0,1.0,0.972972972972973,0.75,0.5263157894736842,3
12,Hospitalized,0.9210526315789473,0.9090909090909091,0.9375,0.9523809523809523,0.8823529411764706,0.9232954545454546,0.9184324447482342,4
13,ICU,0.9210526315789473,0.9375,0.9090909090909091,0.8823529411764706,0.9523809523809523,0.9232954545454545,0.8535216718266253,4
14,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.7894736842105263,0.85,0.7222222222222222,0.7727272727272727,0.8125,0.7861111111111112,0.7357655502392344,5
16,ICU,0.8421052631578947,0.7647058823529411,0.9047619047619048,0.8666666666666667,0.8260869565217391,0.8347338935574229,0.7680082559339525,5
17,Self Isolation,0.9473684210526315,0.0,0.972972972972973,0.0,0.972972972972973,0.4864864864864865,0.02631578947368421,5
18,Hospitalized,0.8947368421052632,0.9166666666666666,0.8571428571428571,0.9166666666666666,0.8571428571428571,0.8869047619047619,0.8929093567251462,6
19,ICU,0.9210526315789473,0.9230769230769231,0.92,0.8571428571428571,0.9583333333333334,0.9215384615384616,0.8175245806824754,6
20,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,6
21,Hospitalized,0.868421052631579,0.92,0.7692307692307693,0.8846153846153846,0.8333333333333334,0.8446153846153845,0.8664777327935222,7
22,ICU,0.9473684210526315,0.8181818181818182,1.0,1.0,0.9310344827586207,0.9090909090909092,0.8708133971291866,7
23,Self Isolation,0.9210526315789473,0.5,0.9444444444444444,0.3333333333333333,0.9714285714285714,0.7222222222222221,0.19298245614035087,7
24,Hospitalized,0.7894736842105263,0.6818181818181818,0.9375,0.9375,0.6818181818181818,0.8096590909090909,0.8234150717703349,8
25,ICU,0.8421052631578947,0.875,0.8181818181818182,0.7777777777777778,0.9,0.8465909090909091,0.7331871345029239,8
26,Self Isolation,0.8947368421052632,0.0,0.8947368421052632,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.7368421052631579,0.9090909090909091,0.5,0.7142857142857143,0.8,0.7045454545454546,0.7019822282980178,9
28,ICU,0.7894736842105263,0.5,0.9583333333333334,0.875,0.7666666666666667,0.7291666666666666,0.6217105263157895,9
29,Self Isolation,0.9473684210526315,0.5,0.9722222222222222,0.5,0.9722222222222222,0.736111111111111,0.2763157894736842,9
