,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.8461538461538461,1.0,0.7857142857142857,0.6470588235294118,1.0,0.8928571428571428,0.6470588235294118,0
1,Not ICU,0.8461538461538461,0.7857142857142857,1.0,1.0,0.6470588235294118,0.8928571428571428,0.9395604395604396,0
2,ICU,0.8421052631578947,0.7272727272727273,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.8080808080808081,0.6078729882557634,1
3,Not ICU,0.8421052631578947,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.7272727272727273,0.8080808080808081,0.8690708252111761,1
4,ICU,0.8947368421052632,0.7894736842105263,1.0,1.0,0.8260869565217391,0.8947368421052632,0.8947368421052632,2
5,Not ICU,0.8947368421052632,1.0,0.7894736842105263,0.8260869565217391,1.0,0.8947368421052632,0.8260869565217391,2
6,ICU,0.8421052631578947,0.8666666666666667,0.8260869565217391,0.7647058823529411,0.9047619047619048,0.846376811594203,0.715376676986584,3
7,Not ICU,0.8421052631578947,0.8260869565217391,0.8666666666666667,0.9047619047619048,0.7647058823529411,0.846376811594203,0.8526751661763103,3
8,ICU,0.9210526315789473,0.9375,0.9090909090909091,0.8823529411764706,0.9523809523809523,0.9232954545454545,0.8535216718266253,4
9,Not ICU,0.9210526315789473,0.9090909090909091,0.9375,0.9523809523809523,0.8823529411764706,0.9232954545454546,0.9184324447482342,4
10,ICU,0.8421052631578947,0.7647058823529411,0.9047619047619048,0.8666666666666667,0.8260869565217391,0.8347338935574229,0.7680082559339525,5
11,Not ICU,0.8421052631578947,0.9047619047619048,0.7647058823529411,0.8260869565217391,0.8666666666666667,0.8347338935574228,0.800043587228942,5
12,ICU,0.8947368421052632,0.8461538461538461,0.92,0.8461538461538461,0.92,0.8830769230769232,0.7686079103083152,6
13,Not ICU,0.8947368421052632,0.92,0.8461538461538461,0.92,0.8461538461538461,0.8830769230769231,0.8990315789473684,6
14,ICU,0.9473684210526315,0.8181818181818182,1.0,1.0,0.9310344827586207,0.9090909090909092,0.8708133971291866,7
15,Not ICU,0.9473684210526315,1.0,0.8181818181818182,0.9310344827586207,1.0,0.9090909090909091,0.9310344827586207,7
16,ICU,0.8157894736842105,0.75,0.8636363636363636,0.8,0.8260869565217391,0.8068181818181819,0.7052631578947369,8
17,Not ICU,0.8157894736842105,0.8636363636363636,0.75,0.8260869565217391,0.8,0.8068181818181819,0.7923861035989183,8
18,ICU,0.8947368421052632,0.8571428571428571,0.9166666666666666,0.8571428571428571,0.9166666666666666,0.8869047619047619,0.7873254564983888,9
19,Not ICU,0.8947368421052632,0.9166666666666666,0.8571428571428571,0.9166666666666666,0.8571428571428571,0.8869047619047619,0.8929093567251462,9
