,Class,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.75,0.6666666666666666,0.84,0.5333333333333333,0.7083333333333334,0.8049999999999999,0
1,ICU,0.7272727272727273,0.7586206896551724,0.5333333333333333,0.88,0.7429467084639498,0.4628787878787879,0
2,Self Isolation,0.0,1.0,0.0,0.975,undefined,undefined,0
3,Hospitalized,0.9565217391304348,0.29411764705882354,0.6470588235294118,0.8333333333333334,0.6253196930946292,0.6439258312020462,1
4,ICU,0.45454545454545453,0.9655172413793104,0.8333333333333334,0.8235294117647058,0.7100313479623824,0.5287878787878788,1
5,Self Isolation,0.0,1.0,0.0,0.85,undefined,undefined,1
6,Hospitalized,0.9333333333333333,0.3333333333333333,0.4666666666666667,0.8888888888888888,0.6333333333333333,0.46119658119658125,2
7,ICU,0.42105263157894735,0.95,0.8888888888888888,0.6333333333333333,0.6855263157894737,0.6563202878992352,2
8,Self Isolation,0.0,1.0,0.0,0.8717948717948718,undefined,undefined,2
9,Hospitalized,0.7,0.6842105263157895,0.7,0.6842105263157895,0.6921052631578948,0.6438461538461537,3
10,ICU,0.7333333333333333,0.6666666666666666,0.5789473684210527,0.8,0.7000000000000001,0.5271255060728746,3
11,Self Isolation,0.0,1.0,0.0,0.8974358974358975,undefined,undefined,3
12,Hospitalized,0.65,0.7894736842105263,0.7647058823529411,0.6818181818181818,0.7197368421052631,0.6765460030165913,4
13,ICU,0.9375,0.6956521739130435,0.6818181818181818,0.9411764705882353,0.8165760869565217,0.6648455710955711,4
14,Self Isolation,0.0,1.0,0.0,0.9230769230769231,undefined,undefined,4
15,Hospitalized,0.8,0.7368421052631579,0.7619047619047619,0.7777777777777778,0.768421052631579,0.7120879120879121,5
16,ICU,0.8235294117647058,0.8181818181818182,0.7777777777777778,0.8571428571428571,0.820855614973262,0.7174459527400704,5
17,Self Isolation,0.0,1.0,0.0,0.9487179487179487,undefined,undefined,5
18,Hospitalized,0.8846153846153846,0.5384615384615384,0.7931034482758621,0.7,0.7115384615384616,0.7785145888594165,6
19,ICU,0.5833333333333334,0.8888888888888888,0.7,0.8275862068965517,0.7361111111111112,0.5365384615384615,6
20,Self Isolation,0.0,1.0,0.0,0.9743589743589743,undefined,undefined,6
21,Hospitalized,0.68,0.6428571428571429,0.7727272727272727,0.5294117647058824,0.6614285714285715,0.7305827505827507,7
22,ICU,0.75,0.7037037037037037,0.5294117647058824,0.8636363636363636,0.7268518518518519,0.4739819004524887,7
23,Self Isolation,0.0,1.0,0.0,0.9487179487179487,undefined,undefined,7
24,Hospitalized,0.6818181818181818,0.7058823529411765,0.75,0.631578947368421,0.693850267379679,0.6908508158508159,8
25,ICU,0.75,0.6956521739130435,0.631578947368421,0.8,0.7228260869565217,0.5762483130904184,8
26,Self Isolation,0.0,1.0,0.0,0.9743589743589743,undefined,undefined,8
27,Hospitalized,0.8636363636363636,0.5294117647058824,0.7037037037037037,0.75,0.696524064171123,0.6846671846671847,9
28,ICU,0.5714285714285714,0.84,0.6666666666666666,0.7777777777777778,0.7057142857142856,0.5347985347985348,9
29,Self Isolation,0.0,1.0,0.0,0.9230769230769231,undefined,undefined,9
