,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.32727272727272727,0.0,1.0,0.0,0.32727272727272727,undefined,undefined,0
1,ICU,0.2909090909090909,1.0,0.0,0.2909090909090909,0.0,undefined,undefined,0
2,Self Isolation,0.9636363636363636,0.0,1.0,0.0,0.9636363636363636,undefined,undefined,0
3,Hospitalized,0.509090909090909,1.0,0.0,0.509090909090909,0.0,undefined,undefined,1
4,ICU,0.6363636363636364,0.0,1.0,0.0,0.6363636363636364,undefined,undefined,1
5,Self Isolation,0.8727272727272727,0.0,1.0,0.0,0.8727272727272727,undefined,undefined,1
6,Hospitalized,0.5272727272727272,0.0,1.0,0.0,0.5272727272727272,undefined,undefined,2
7,ICU,0.4909090909090909,1.0,0.0,0.4909090909090909,0.0,undefined,undefined,2
8,Self Isolation,0.9636363636363636,0.0,1.0,0.0,0.9636363636363636,undefined,undefined,2
9,Hospitalized,0.5740740740740741,1.0,0.0,0.5740740740740741,0.0,undefined,undefined,3
10,ICU,0.5925925925925926,0.0,1.0,0.0,0.5925925925925926,undefined,undefined,3
11,Self Isolation,0.9814814814814815,0.0,1.0,0.0,0.9814814814814815,undefined,undefined,3
12,Hospitalized,0.4074074074074074,0.0,1.0,0.0,0.4074074074074074,undefined,undefined,4
13,ICU,0.6111111111111112,0.0,1.0,0.0,0.6111111111111112,undefined,undefined,4
14,Self Isolation,0.018518518518518517,1.0,0.0,0.018518518518518517,0.0,undefined,undefined,4
15,Hospitalized,0.6111111111111112,1.0,0.0,0.6111111111111112,0.0,undefined,undefined,5
16,ICU,0.6481481481481481,0.0,1.0,0.0,0.6481481481481481,undefined,undefined,5
17,Self Isolation,0.9629629629629629,0.0,1.0,0.0,0.9629629629629629,undefined,undefined,5
18,Hospitalized,0.37037037037037035,0.0,1.0,0.0,0.37037037037037035,undefined,undefined,6
19,ICU,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,undefined,undefined,6
20,Self Isolation,0.037037037037037035,1.0,0.0,0.037037037037037035,0.0,undefined,undefined,6
