,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,Hospitalized,0.717948717948718,1.0,0.0,0.717948717948718,0.0,undefined,undefined,0
1,ICU,0.717948717948718,0.0,1.0,0.0,0.717948717948718,undefined,undefined,0
2,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,0
3,Hospitalized,0.5789473684210527,1.0,0.0,0.5789473684210527,0.0,undefined,undefined,1
4,ICU,0.7105263157894737,0.0,1.0,0.0,0.7105263157894737,undefined,undefined,1
5,Self Isolation,0.868421052631579,0.0,1.0,0.0,0.868421052631579,undefined,undefined,1
6,Hospitalized,0.39473684210526316,1.0,0.0,0.39473684210526316,0.0,undefined,undefined,2
7,ICU,0.5,0.0,1.0,0.0,0.5,undefined,undefined,2
8,Self Isolation,0.8947368421052632,0.0,1.0,0.0,0.8947368421052632,undefined,undefined,2
9,Hospitalized,0.5526315789473685,1.0,0.0,0.5526315789473685,0.0,undefined,undefined,3
10,ICU,0.6052631578947368,0.0,1.0,0.0,0.6052631578947368,undefined,undefined,3
11,Self Isolation,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315,undefined,undefined,3
12,Hospitalized,0.5789473684210527,1.0,0.0,0.5789473684210527,0.0,undefined,undefined,4
13,ICU,0.5789473684210527,0.0,1.0,0.0,0.5789473684210527,undefined,undefined,4
14,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,4
15,Hospitalized,0.5263157894736842,1.0,0.0,0.5263157894736842,0.0,undefined,undefined,5
16,ICU,0.5526315789473685,0.0,1.0,0.0,0.5526315789473685,undefined,undefined,5
17,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,5
18,Hospitalized,0.631578947368421,1.0,0.0,0.631578947368421,0.0,undefined,undefined,6
19,ICU,0.6578947368421053,0.0,1.0,0.0,0.6578947368421053,undefined,undefined,6
20,Self Isolation,0.9736842105263158,0.0,1.0,0.0,0.9736842105263158,undefined,undefined,6
21,Hospitalized,0.6578947368421053,1.0,0.0,0.6578947368421053,0.0,undefined,undefined,7
22,ICU,0.7105263157894737,0.0,1.0,0.0,0.7105263157894737,undefined,undefined,7
23,Self Isolation,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315,undefined,undefined,7
24,Hospitalized,0.5789473684210527,1.0,0.0,0.5789473684210527,0.0,undefined,undefined,8
25,ICU,0.5789473684210527,0.0,1.0,0.0,0.5789473684210527,undefined,undefined,8
26,Self Isolation,1.0,0.0,1.0,0.0,1.0,undefined,undefined,8
27,Hospitalized,0.5789473684210527,1.0,0.0,0.5789473684210527,0.0,undefined,undefined,9
28,ICU,0.631578947368421,0.0,1.0,0.0,0.631578947368421,undefined,undefined,9
29,Self Isolation,0.9473684210526315,0.0,1.0,0.0,0.9473684210526315,undefined,undefined,9
