,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.620253164556962,0.8181818181818182,0.543859649122807,0.4090909090909091,0.8857142857142857,0.6810207336523126,0.385343655194058,0
1,Not ICU,0.620253164556962,0.543859649122807,0.8181818181818182,0.8857142857142857,0.4090909090909091,0.6810207336523125,0.810818184702262,0
2,ICU,0.5949367088607594,0.058823529411764705,1.0,1.0,0.5844155844155844,0.5294117647058824,0.4638868205510052,1
3,Not ICU,0.5949367088607594,1.0,0.058823529411764705,0.5844155844155844,1.0,0.5294117647058824,0.5844155844155844,1
4,ICU,0.5769230769230769,0.0,1.0,0.0,0.5769230769230769,undefined,undefined,2
5,Not ICU,0.5769230769230769,1.0,0.0,0.5769230769230769,0.0,undefined,undefined,2
6,ICU,0.7435897435897436,0.375,0.9074074074074074,0.6428571428571429,0.765625,0.6412037037037037,0.4333791208791209,3
7,Not ICU,0.7435897435897436,0.9074074074074074,0.375,0.765625,0.6428571428571429,0.6412037037037037,0.7588363603988604,3
8,ICU,0.717948717948718,0.6333333333333333,0.7708333333333334,0.6333333333333333,0.7708333333333334,0.7020833333333334,0.5421367521367522,4
9,Not ICU,0.717948717948718,0.7708333333333334,0.6333333333333333,0.7708333333333334,0.6333333333333333,0.7020833333333334,0.7352096688034189,4
