,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.7215189873417721,0.5909090909090909,0.7719298245614035,0.5,0.8301886792452831,0.6814194577352471,0.40937859608745686,0
1,Not ICU,0.7215189873417721,0.7719298245614035,0.5909090909090909,0.8301886792452831,0.5,0.681419457735247,0.805404363547991,0
2,ICU,0.6835443037974683,0.47058823529411764,0.8444444444444444,0.6956521739130435,0.6785714285714286,0.657516339869281,0.5552138301660785,1
3,Not ICU,0.6835443037974683,0.8444444444444444,0.47058823529411764,0.6785714285714286,0.6956521739130435,0.657516339869281,0.661623467952582,1
4,ICU,0.7948717948717948,0.7272727272727273,0.8444444444444444,0.7741935483870968,0.8085106382978723,0.7858585858585859,0.6784344687570495,2
5,Not ICU,0.7948717948717948,0.8444444444444444,0.7272727272727273,0.8085106382978723,0.7741935483870968,0.7858585858585859,0.7724859065284597,2
6,ICU,0.7435897435897436,0.7083333333333334,0.7592592592592593,0.5666666666666667,0.8541666666666666,0.7337962962962964,0.49113247863247866,3
7,Not ICU,0.7435897435897436,0.7592592592592593,0.7083333333333334,0.8541666666666666,0.5666666666666667,0.7337962962962963,0.8152006172839505,3
8,ICU,0.7564102564102564,0.6333333333333333,0.8333333333333334,0.7037037037037037,0.7843137254901961,0.7333333333333334,0.58670465337132,4
9,Not ICU,0.7564102564102564,0.8333333333333334,0.6333333333333333,0.7843137254901961,0.7037037037037037,0.7333333333333334,0.7561588738059326,4
