,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.759493670886076,0.5454545454545454,0.8421052631578947,0.5714285714285714,0.8275862068965517,0.69377990430622,0.4382705901693243,0
1,Not ICU,0.759493670886076,0.8421052631578947,0.5454545454545454,0.8275862068965517,0.5714285714285714,0.69377990430622,0.810838751177376,0
2,ICU,0.6329113924050633,0.4117647058823529,0.8,0.6086956521739131,0.6428571428571429,0.6058823529411764,0.5038039431512836,1
3,Not ICU,0.6329113924050633,0.8,0.4117647058823529,0.6428571428571429,0.6086956521739131,0.6058823529411765,0.6282097649186257,1
4,ICU,0.7692307692307693,0.6363636363636364,0.8666666666666667,0.7777777777777778,0.7647058823529411,0.7515151515151515,0.6487956487956488,2
5,Not ICU,0.7692307692307693,0.8666666666666667,0.6363636363636364,0.7647058823529411,0.7777777777777778,0.7515151515151516,0.7396681749622925,2
6,ICU,0.8205128205128205,0.625,0.9074074074074074,0.75,0.8448275862068966,0.7662037037037038,0.5841346153846154,3
7,Not ICU,0.8205128205128205,0.9074074074074074,0.625,0.8448275862068966,0.75,0.7662037037037037,0.8307053738088221,3
8,ICU,0.7692307692307693,0.5333333333333333,0.9166666666666666,0.8,0.7586206896551724,0.725,0.6061538461538462,4
9,Not ICU,0.7692307692307693,0.9166666666666666,0.5333333333333333,0.7586206896551724,0.8,0.725,0.746684350132626,4
