,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.7215189873417721,0.0,1.0,0.0,0.7215189873417721,undefined,undefined,0
1,Not ICU,0.7215189873417721,1.0,0.0,0.7215189873417721,0.0,undefined,undefined,0
2,ICU,0.569620253164557,0.0,1.0,0.0,0.569620253164557,undefined,undefined,1
3,Not ICU,0.569620253164557,1.0,0.0,0.569620253164557,0.0,undefined,undefined,1
4,ICU,0.5769230769230769,0.0,1.0,0.0,0.5769230769230769,undefined,undefined,2
5,Not ICU,0.5769230769230769,1.0,0.0,0.5769230769230769,0.0,undefined,undefined,2
6,ICU,0.6923076923076923,0.0,1.0,0.0,0.6923076923076923,undefined,undefined,3
7,Not ICU,0.6923076923076923,1.0,0.0,0.6923076923076923,0.0,undefined,undefined,3
8,ICU,0.6153846153846154,0.0,1.0,0.0,0.6153846153846154,undefined,undefined,4
9,Not ICU,0.6153846153846154,1.0,0.0,0.6153846153846154,0.0,undefined,undefined,4
