,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.27848101265822783,1.0,0.0,0.27848101265822783,0.0,undefined,undefined,0
1,Not ICU,0.27848101265822783,0.0,1.0,0.0,0.27848101265822783,undefined,undefined,0
2,ICU,0.43037974683544306,1.0,0.0,0.43037974683544306,0.0,undefined,undefined,1
3,Not ICU,0.43037974683544306,0.0,1.0,0.0,0.43037974683544306,undefined,undefined,1
4,ICU,0.4230769230769231,1.0,0.0,0.4230769230769231,0.0,undefined,undefined,2
5,Not ICU,0.4230769230769231,0.0,1.0,0.0,0.4230769230769231,undefined,undefined,2
6,ICU,0.3076923076923077,1.0,0.0,0.3076923076923077,0.0,undefined,undefined,3
7,Not ICU,0.3076923076923077,0.0,1.0,0.0,0.3076923076923077,undefined,undefined,3
8,ICU,0.38461538461538464,1.0,0.0,0.38461538461538464,0.0,undefined,undefined,4
9,Not ICU,0.38461538461538464,0.0,1.0,0.0,0.38461538461538464,undefined,undefined,4
