,Class,Accuracy,Specificity,Sensitivity,PPV,NPV,ROC_AUC,Average Precision Score,Fold
0,ICU,0.7088607594936709,0.5909090909090909,0.7543859649122807,0.48148148148148145,0.8269230769230769,0.6726475279106857,0.3984358351446959,0
1,Not ICU,0.7088607594936709,0.7543859649122807,0.5909090909090909,0.8269230769230769,0.48148148148148145,0.6726475279106858,0.8010343531662651,0
2,ICU,0.6329113924050633,0.5294117647058824,0.7111111111111111,0.5806451612903226,0.6666666666666666,0.6202614379084966,0.5099320250762617,1
3,Not ICU,0.6329113924050633,0.7111111111111111,0.5294117647058824,0.6666666666666666,0.5806451612903226,0.6202614379084967,0.6386310360993905,1
4,ICU,0.717948717948718,0.6363636363636364,0.7777777777777778,0.6774193548387096,0.7446808510638298,0.7070707070707071,0.5849311978344236,2
5,Not ICU,0.717948717948718,0.7777777777777778,0.6363636363636364,0.7446808510638298,0.6774193548387096,0.7070707070707071,0.707401345699218,2
6,ICU,0.7564102564102564,0.6666666666666666,0.7962962962962963,0.5925925925925926,0.8431372549019608,0.7314814814814814,0.4976258309591643,3
7,Not ICU,0.7564102564102564,0.7962962962962963,0.6666666666666666,0.8431372549019608,0.5925925925925926,0.7314814814814816,0.8124127143734987,3
8,ICU,0.782051282051282,0.5666666666666667,0.9166666666666666,0.8095238095238095,0.7719298245614035,0.7416666666666667,0.6253968253968254,4
9,Not ICU,0.782051282051282,0.9166666666666666,0.5666666666666667,0.7719298245614035,0.8095238095238095,0.7416666666666666,0.7588843904633378,4
